state_name,district_name,court_name,est_code,updated_type_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,age_interval,total_cases
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted - Fined,63,2019,2019,2019,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Discharged,14,2018,2018,2019,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Discharged,14,2019,2019,2019,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Discharged,14,2019,2019,2019,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,30,2016,2015,2017,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,30,2019,2019,2019,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,30,2019,2019,2020,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,61,2016,2014,2017,two to three years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,61,2018,2018,2018,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,61,2019,2019,2019,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,1,2018,2018,2018,one to three months,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,1,2018,2018,2018,six months to one year,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,1,2018,2018,2019,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,1,2019,2019,2019,less than one month,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,1,2019,2019,2019,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,1,2019,2019,2019,three to six months,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,68,0   ,2015,2016,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,68,0   ,2015,2016,six months to one year,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,68,2016,2016,2016,less than one month,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,68,2016,2016,2016,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,78,2016,2016,2018,one to two years,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Transferred,78,2017,2017,2018,six months to one year,6
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2010,2019,NA,six months to one year,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2016,2016,NA,three to four years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2017,2017,NA,two to three years,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2018,2018,NA,one to two years,43
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2018,2018,NA,two to three years,4
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2019,2019,NA,one to two years,33
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2019,2019,NA,six months to one year,63
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2019,2019,NA,three to six months,24
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2020,2020,NA,less than one month,11
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,NA,0,2020,2020,NA,one to three months,27
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2015,2016,2018,two to three years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2016,2016,2017,one to two years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2016,2016,2018,two to three years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2017,2016,2019,three to four years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2017,2017,2018,one to two years,2
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2019,2019,2019,three to six months,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,Acquitted,10,2019,2019,2020,six months to one year,4
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2014,2015,NA,four to five years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2015,2016,NA,four to five years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2017,2017,NA,three to four years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2019,2019,NA,six months to one year,15
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2019,2019,NA,three to six months,4
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2020,2020,NA,less than one month,2
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special (POCSO) Case,NA,0,2020,2020,NA,one to three months,5
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special Case,Acquitted,10,2017,2017,2018,one to two years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special Case,NA,0,2015,2015,NA,five to six years,1
Assam,Bongaigaon,Additional District and Sessions Judge,ASBN06,Special Case,NA,0,2017,2016,NA,three to four years,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Sessions Case (SC),Case is filed,21,2017,2017,2017,one to three months,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special (POCSO) Case,NA,0,2019,2019,NA,six months to one year,3
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special (POCSO) Case,NA,0,2019,2019,NA,three to six months,3
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special (POCSO) Case,NA,0,2020,2020,NA,less than one month,3
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special (POCSO) Case,NA,0,2020,2020,NA,one to three months,6
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2016,2016,2017,one to two years,3
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2017,2017,2017,one to three months,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2017,2017,2017,six months to one year,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2017,2017,2018,one to two years,2
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2017,2017,2018,six months to one year,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2017,2017,2019,one to two years,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2018,2018,2018,six months to one year,3
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2018,2018,2018,three to six months,3
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Acquitted,10,2018,2018,2019,one to two years,5
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Case is filed,21,2016,2016,2016,less than one month,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Case is filed,21,2016,2016,2017,one to three months,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Case is filed,21,2017,2017,2018,six months to one year,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Convicted,11,2017,2017,2017,six months to one year,2
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Convicted,11,2017,2017,2018,one to two years,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Convicted,11,2017,2017,2018,six months to one year,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,Convicted,11,2018,2018,2018,six months to one year,1
Assam,Bongaigaon,District And Sessions Judge,ASBN01,Special Case,NA,0,2018,2018,NA,one to two years,1
Assam,Cachar,Civil Judge Cum Assistant Sessions Judge,ASCC02,Sessions Case (SC),Acquitted,10,2016,2016,2016,one to three months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Sessions Case (SC),Acquitted,10,2018,2018,2019,six months to one year,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Sessions Case (SC),NA,0,2017,2017,NA,two to three years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Sessions Case (SC),NA,0,2019,2019,NA,three to six months,2
Assam,Cachar,District And Sessions Judge Court,ASCC01,Sessions Case (SC),NA,0,2020,2020,NA,one to three months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Abated,13,0   ,2015,2018,two to three years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Abated,13,2018,2018,2020,one to two years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,0   ,2015,2015,three to six months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,0   ,2015,2016,one to three months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,0   ,2015,2016,six months to one year,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,0   ,2015,2016,three to six months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,0   ,2015,2017,one to two years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2013,2013,2017,three to four years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2014,2014,2014,one to three months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2015,2015,2015,three to six months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2015,2015,2016,six months to one year,2
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2016,2016,2016,one to three months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2016,2016,2016,three to six months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2016,2016,2017,six months to one year,5
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2016,2016,2017,three to six months,3
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2016,2016,2019,three to four years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2017,less than one month,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2017,one to three months,2
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2017,six months to one year,3
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2017,three to six months,2
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2018,one to three months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2018,one to two years,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2018,six months to one year,2
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2018,three to six months,1
Assam,Cachar,District And Sessions Judge Court,ASCC01,Special (POCSO) Case,Acquitted,10,2017,2017,2019,one to two years,2
