state_name,district_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,total_cases
Assam,Sonitpur,Acquitted,10,0   ,2014,2018,1
Assam,Chirang,Acquitted,10,2018,2018,2018,6
Delhi,South West,Adjourned Sine die,11,2018,2018,2019,1
Assam,Sivasagar,Disposed,30,2015,2015,2016,2
Assam,Udalguri,Acquitted,10,2016,2015,2019,2
Delhi,South West,Acquitted,1,2014,2014,2019,9
Haryana,Sirsa,Disposed of with directions,36,2019,2019,2019,3
Delhi,South,Acquitted,1,2013,2015,2019,2
Assam,Jorhat,Discharged,14,2019,2019,2020,1
Delhi,West,Transferred,74,2015,2015,2019,1
Assam,Sonitpur,Case is filed,21,2017,2017,2018,2
Delhi,South East,Cancelled,53,2016,2016,2016,1
Assam,Bongaigaon,Acquitted,10,2018,2018,2019,5
Delhi,West,Untraced,46,2016,2016,2017,1
Assam,Dhemaji,Transferred,1,2015,2015,2017,2
Assam,Bongaigaon,Acquitted,10,2017,2017,2019,1
